斤,jīn,斤,3,[unit of weight] catty
方,fāng,方,3,square; direction
於,yú,于,3,"at, in"
易,yì,易,3,"easy; to change, to exchange"
春,chūn,春,3,spring (season)
曆,lì,历,3,"calendar, history"
更,gèng,更,3,more
更,gēng,更,3,to change; experience
末,mò,末,3,"end, tip"
朵,duǒ,朵,3,[m.w. (for flowers)]
李,lǐ,李,3,<tree> <fruit> plum; <surname>
束,shù,束,3,"bundle, bind"
板,bǎn,板,3,"board, plank"
查,chá,查,3,to check
根,gēn,根,3,root (of tree)
梯,tī,梯,3,ladder
楚,chǔ,楚,3,<ancient state>
業,yè,业,3,business
極,jí,极,3,utmost point; to reach the limit; extreme
樓,lóu,楼,3,"building, floor"
樹,shù,树,3,tree
檢,jiǎn,检,3,"to inspect, to check"
歷,lì,历,3,"history, calendar"
段,duàn,段,3,section
求,qiú,求,3,to request
決,jué,决,3,decide
河,hé,河,3,river
法,fǎ,法,3,"law, method"
注,zhù,注,3,"to inject, to pour into"
淨,jìng,净,3,"clean; completely, only"
清,qīng,清,3,"clear, clean; to clear"
渴,kě,渴,3,thirsty
滿,mǎn,满,3,full
澡,zǎo,澡,3,bath
煉,liàn,炼,3,"to refine, to smelt"
照,zhào,照,3,"to shine, to illuminate"
熊,xióng,熊,3,<animal> bear
燈,dēng,灯,3,"lamp, light, lantern"
燒,shāo,烧,3,"to burn, to roast"
爬,pá,爬,3,"to crawl, to climb"
爺,yé,爷,3,"grandfather (paternal), old man"
片,piàn,片,3,"[m.w. (for flake-shaped objects/area)] slice, piece"
牙,yá,牙,3,tooth
物,wù,物,3,"thing, object"
特,tè,特,3,special
理,lǐ,理,3,"texture; reason, truth; to manage, to put in order"
環,huán,环,3,"ring, loop; to surround, to encircle"
瓶,píng,瓶,3,bottle
甜,tián,甜,3,sweet
用,yòng,用,3,use; to use
界,jiè,界,3,boundary; realm
留,liú,留,3,to stay
畫,huà,画,3,to draw; painting
當,dàng,当,3,appropriate
當,dāng,当,3,to be equal to; to serve as; should
疼,téng,疼,3,"to ache, to hurt; to love, to dote on"
瘦,shòu,瘦,3,"slim, skinny"
發,fā,发,3,"to send, to launch; to produce; flourish"
皮,pí,皮,3,"skin, leather"
盤,pán,盘,3,"plate, tray"
目,mù,目,3,{classical} eye
直,zhí,直,3,straight
相,xiàng,相,3,"appearance, took; to observe, to appraise; phase"
